Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen
28.08.2015;11:00;12:00;69.575,75;53.444;48,75
28.08.2015;12:00;13:00;68.127;50.536;45,5
28.08.2015;13:00;14:00;66.564,5;48.521,75;49
28.08.2015;14:00;15:00;64.691,25;46.788,25;95,75
28.08.2015;15:00;16:00;63.208;46.474,75;122,5
28.08.2015;16:00;17:00;61.601,75;47.368,25;248,75
28.08.2015;17:00;18:00;61.253,25;50.421,5;555,75
28.08.2015;18:00;19:00;60.355;53.828;212,5
28.08.2015;19:00;20:00;59.142,5;55.735,75;41,25
28.08.2015;20:00;21:00;58.231;55.551;48
28.08.2015;21:00;22:00;56.158;53.162,5;263,25
28.08.2015;22:00;23:00;52.148,25;48.865,5;573,25
28.08.2015;23:00;00:00;48.353;45.130,25;580,75
29.08.2015;00:00;01:00;45.293,25;42.153;268,5
29.08.2015;01:00;02:00;43.217;40.313,5;732,75
29.08.2015;02:00;03:00;41.905;39.109,75;667,25
29.08.2015;03:00;04:00;41.402,25;38.970,5;836,75
29.08.2015;04:00;05:00;41.568,25;39.434,75;1.103
29.08.2015;05:00;06:00;42.444,75;40.384,25;845,5
29.08.2015;06:00;07:00;44.288;41.943;603,75
29.08.2015;07:00;08:00;47.302;43.003,25;373,75
29.08.2015;08:00;09:00;51.110,25;42.967;418,75
29.08.2015;09:00;10:00;54.433;41.420,5;487
29.08.2015;10:00;11:00;56.560;38.519,25;1.167,75
29.08.2015;11:00;12:00;57.438,75;35.560,75;1.507,25
29.08.2015;12:00;13:00;56.548,75;32.860,25;1.461,25
29.08.2015;13:00;14:00;54.468,25;30.531,75;1.857,25
29.08.2015;14:00;15:00;52.892,25;30.160,25;1.980,5
29.08.2015;15:00;16:00;51.606,75;31.531,75;1.418,75
29.08.2015;16:00;17:00;51.092;35.114,25;1.044,75
29.08.2015;17:00;18:00;51.055;40.391;621,5
29.08.2015;18:00;19:00;51.045;45.922,25;207,25
29.08.2015;19:00;20:00;50.500,5;48.917,25;102,5
29.08.2015;20:00;21:00;50.163,75;49.123,25;41
29.08.2015;21:00;22:00;48.807,25;47.205,75;50,5
29.08.2015;22:00;23:00;46.271,25;44.157,5;130,25
29.08.2015;23:00;00:00;43.140,25;40.701,5;187,25
30.08.2015;00:00;01:00;40.363;38.499,75;488,75
30.08.2015;01:00;02:00;38.635,5;36.846,25;589
30.08.2015;02:00;03:00;37.413,25;35.849,25;426,5
30.08.2015;03:00;04:00;36.879;35.430,25;554,25
30.08.2015;04:00;05:00;36.959,25;35.622,25;843
30.08.2015;05:00;06:00;37.552,75;36.242;1.253,5
30.08.2015;06:00;07:00;38.101,25;36.622,5;1.351,25
30.08.2015;07:00;08:00;39.977,75;36.458,25;1.189,25
30.08.2015;08:00;09:00;43.474,5;35.981,5;719,75
30.08.2015;09:00;10:00;46.426,75;34.620,75;773,25
30.08.2015;10:00;11:00;48.987,5;32.944,5;809,25
30.08.2015;11:00;12:00;50.972;31.268,25;1.038,25
30.08.2015;12:00;13:00;50.882,75;28.885,25;2.192,25
30.08.2015;13:00;14:00;49.127;26.209,25;2.415,25
30.08.2015;14:00;15:00;47.872;25.643;2.418,75
30.08.2015;15:00;16:00;47.127,25;27.293,25;2.771
30.08.2015;16:00;17:00;46.974,75;30.975,75;1.703,75
30.08.2015;17:00;18:00;47.634,75;36.499,5;581,75
30.08.2015;18:00;19:00;49.033,75;42.969,75;52,75
30.08.2015;19:00;20:00;49.484,5;46.361,75;52
30.08.2015;20:00;21:00;50.943;48.106,75;52
30.08.2015;21:00;22:00;50.526;47.096,75;83
30.08.2015;22:00;23:00;48.731,5;45.190,25;142,75
30.08.2015;23:00;00:00;45.552,5;42.046,75;243,75
31.08.2015;00:00;01:00;43.252,75;39.526,25;1.267,5
31.08.2015;01:00;02:00;41.714,75;38.175,5;1.760
31.08.2015;02:00;03:00;41.132,25;37.880,5;2.253,25
31.08.2015;03:00;04:00;41.424,5;38.597,25;2.810
31.08.2015;04:00;05:00;42.696,75;39.880,75;2.543,25
31.08.2015;05:00;06:00;47.019,25;43.614,75;1.085
31.08.2015;06:00;07:00;55.446,5;52.109;127,75
31.08.2015;07:00;08:00;61.536,75;56.868,25;50
31.08.2015;08:00;09:00;64.936;56.392,25;184,25
31.08.2015;09:00;10:00;66.828;53.073,25;66,5
31.08.2015;10:00;11:00;68.705;50.672,5;60,5
31.08.2015;11:00;12:00;69.871,5;48.466,25;5,25
31.08.2015;12:00;13:00;68.989;44.997,5;51,25
31.08.2015;13:00;14:00;68.274,75;42.883,25;1.287,5
31.08.2015;14:00;15:00;67.138;41.999,25;861,25
31.08.2015;15:00;16:00;65.908;42.535,75;607,25
31.08.2015;16:00;17:00;63.930,25;44.105;415
31.08.2015;17:00;18:00;63.413,75;49.130,25;52
31.08.2015;18:00;19:00;63.024,75;54.129,25;25,25
31.08.2015;19:00;20:00;62.024;55.799;80
31.08.2015;20:00;21:00;62.317,75;56.299;103,75
31.08.2015;21:00;22:00;59.947,75;53.152,25;361,75
31.08.2015;22:00;23:00;55.379,75;49.085,5;428
31.08.2015;23:00;00:00;51.006,25;44.785;1.136,25
01.09.2015;00:00;01:00;48.050,5;41.597,5;1.883
01.09.2015;01:00;02:00;46.387,25;39.276,75;2.627,75
01.09.2015;02:00;03:00;45.450;37.793,75;2.947,25
01.09.2015;03:00;04:00;45.515,25;37.705,5;3.073,5
01.09.2015;04:00;05:00;46.331,5;39.066,5;2.716,25
01.09.2015;05:00;06:00;49.828,25;42.576;2.224
01.09.2015;06:00;07:00;57.620,75;49.835,75;783,5
01.09.2015;07:00;08:00;63.837,25;54.712;143,25
01.09.2015;08:00;09:00;67.171;55.196,5;72
01.09.2015;09:00;10:00;67.554,5;52.239,5;60,5
01.09.2015;10:00;11:00;69.209,5;50.724,75;33,75
01.09.2015;11:00;12:00;70.501,75;49.953;10,75
01.09.2015;12:00;13:00;70.036,75;48.565,5;44,5
01.09.2015;13:00;14:00;68.861,5;47.808,25;91,75
01.09.2015;14:00;15:00;68.008;48.038,75;387,5
01.09.2015;15:00;16:00;66.790,5;47.772,75;748,5
01.09.2015;16:00;17:00;65.197,25;47.508;327,5
01.09.2015;17:00;18:00;64.373;48.618,75;57,25
01.09.2015;18:00;19:00;64.072,25;50.794,5;38
01.09.2015;19:00;20:00;63.421,5;51.938,5;74,25
01.09.2015;20:00;21:00;62.209,25;51.655;96,75
01.09.2015;21:00;22:00;59.338,5;48.414,5;567
01.09.2015;22:00;23:00;54.917,75;44.311,25;623,25
01.09.2015;23:00;00:00;50.556;39.988;1.557
02.09.2015;00:00;01:00;47.775;37.429,75;2.473
02.09.2015;01:00;02:00;45.720,25;35.734;2.355
02.09.2015;02:00;03:00;44.712;34.930,75;2.479
02.09.2015;03:00;04:00;45.083,75;35.197,75;2.938,75
02.09.2015;04:00;05:00;46.297,5;36.701,75;2.366
02.09.2015;05:00;06:00;50.083;40.502,75;1.880
02.09.2015;06:00;07:00;57.540,75;47.928,5;979,75
02.09.2015;07:00;08:00;62.484,5;51.809,25;356,75
02.09.2015;08:00;09:00;65.512,25;51.898,75;164
02.09.2015;09:00;10:00;66.706;48.354;411
02.09.2015;10:00;11:00;68.156,5;45.223,25;339,5
02.09.2015;11:00;12:00;69.052,25;43.860;166,5
02.09.2015;12:00;13:00;68.010,75;42.549,75;128,75
02.09.2015;13:00;14:00;67.361,25;42.703,5;106,5
02.09.2015;14:00;15:00;66.201,25;43.382,75;75,25
02.09.2015;15:00;16:00;64.927,25;45.248,75;81,25
02.09.2015;16:00;17:00;63.159,5;46.904,75;152,25
02.09.2015;17:00;18:00;62.541;49.828,75;453
02.09.2015;18:00;19:00;62.334;53.546;309,75
02.09.2015;19:00;20:00;62.013;56.422,25;159
02.09.2015;20:00;21:00;61.823;56.996,75;156,75
02.09.2015;21:00;22:00;58.691,75;53.553,25;387
02.09.2015;22:00;23:00;54.166,75;49.078;938
02.09.2015;23:00;00:00;49.665;44.800;818,75
03.09.2015;00:00;01:00;46.823;41.845,75;1.095,5
03.09.2015;01:00;02:00;45.156;40.196,75;1.496,75
03.09.2015;02:00;03:00;44.165,25;39.353;2.183
03.09.2015;03:00;04:00;44.450,75;39.814,75;3.100,5
03.09.2015;04:00;05:00;45.546;40.960,5;2.923,25
03.09.2015;05:00;06:00;49.439,25;44.760,75;2.045
03.09.2015;06:00;07:00;57.541,5;52.677;239,25
03.09.2015;07:00;08:00;62.520,5;56.763;134,5
03.09.2015;08:00;09:00;65.294,25;57.520,25;32,5
03.09.2015;09:00;10:00;66.004,75;55.804,75;37,5
03.09.2015;10:00;11:00;67.367,75;53.801,5;39,5
03.09.2015;11:00;12:00;68.732,5;52.477,25;40,5
03.09.2015;12:00;13:00;68.034,5;51.179,25;39
03.09.2015;13:00;14:00;67.306,5;50.622,25;42,25
03.09.2015;14:00;15:00;65.453;49.639,25;44,25
03.09.2015;15:00;16:00;64.230;49.507,5;231
03.09.2015;16:00;17:00;62.660,25;50.236,25;53
03.09.2015;17:00;18:00;62.039;52.261,25;6,25
03.09.2015;18:00;19:00;61.782,25;54.906,5;31,5
03.09.2015;19:00;20:00;61.899,5;57.203;2,25
03.09.2015;20:00;21:00;61.774,75;57.632,25;2
03.09.2015;21:00;22:00;58.529,5;53.915,5;338,25
03.09.2015;22:00;23:00;53.751;48.760,75;360,75
03.09.2015;23:00;00:00;49.774,25;44.523;702
04.09.2015;00:00;01:00;46.525;41.183,25;2.174
04.09.2015;01:00;02:00;44.737,75;39.206;2.064,5
04.09.2015;02:00;03:00;43.905;38.185;2.437,25
04.09.2015;03:00;04:00;43.968;38.242;2.524
04.09.2015;04:00;05:00;45.088,5;39.088;2.475,5
04.09.2015;05:00;06:00;48.749,25;42.459,75;1.858,75
04.09.2015;06:00;07:00;56.623,25;49.854,25;286,25
04.09.2015;07:00;08:00;62.030,75;53.759,75;91,75
04.09.2015;08:00;09:00;65.121,5;53.571,75;35,25
04.09.2015;09:00;10:00;65.967,75;50.197,5;151,5
04.09.2015;10:00;11:00;67.540,5;46.589,5;224,75
04.09.2015;11:00;12:00;68.861;44.483,5;341,25
04.09.2015;12:00;13:00;68.239;42.233;279,5
04.09.2015;13:00;14:00;66.567;40.329,75;93,75
04.09.2015;14:00;15:00;65.042,5;38.959,5;257,25
04.09.2015;15:00;16:00;63.118,5;38.208,5;614,5
04.09.2015;16:00;17:00;61.982,5;39.332,5;672
04.09.2015;17:00;18:00;61.286,25;42.719,75;105,75
04.09.2015;18:00;19:00;60.672,75;46.382,25;198,25
04.09.2015;19:00;20:00;60.074,25;48.842,5;185,5
04.09.2015;20:00;21:00;59.844;48.390,5;120,75
04.09.2015;21:00;22:00;56.634,75;43.755,5;262,25
04.09.2015;22:00;23:00;52.768;38.883,25;653,75
04.09.2015;23:00;00:00;48.765,5;34.719;474,75
05.09.2015;00:00;01:00;45.509;30.936,5;566,25
05.09.2015;01:00;02:00;43.412,25;27.688,75;1.145,75
05.09.2015;02:00;03:00;42.189,25;25.997,25;2.169,75
05.09.2015;03:00;04:00;41.686,5;25.875,75;1.352,5
05.09.2015;04:00;05:00;41.774,5;26.187,25;2.029,75
05.09.2015;05:00;06:00;42.477;26.970,75;1.342,25
05.09.2015;06:00;07:00;44.540,75;29.160,25;154,75
05.09.2015;07:00;08:00;47.483,75;31.543,25;184,25
05.09.2015;08:00;09:00;51.219;32.171,5;255,75
05.09.2015;09:00;10:00;54.505;30.435,25;683,5
05.09.2015;10:00;11:00;56.407,5;27.833,5;923
05.09.2015;11:00;12:00;57.734;25.978,75;965,25
05.09.2015;12:00;13:00;56.746,75;23.196;1.325
05.09.2015;13:00;14:00;55.214,5;21.122,5;2.035,25
05.09.2015;14:00;15:00;53.496,25;20.269,25;1.745,25
05.09.2015;15:00;16:00;52.188,5;21.070;1.566
05.09.2015;16:00;17:00;51.620,75;22.818,25;1.432
05.09.2015;17:00;18:00;52.329,25;26.740,5;764,25
05.09.2015;18:00;19:00;52.817,75;31.188;147,25
05.09.2015;19:00;20:00;52.679,25;33.732;26,75
05.09.2015;20:00;21:00;52.206,5;33.473,5;101,25
05.09.2015;21:00;22:00;49.620,25;30.607;249,5
05.09.2015;22:00;23:00;47.106,75;27.708,5;695,75
05.09.2015;23:00;00:00;43.857,75;24.011,75;1.114,5
06.09.2015;00:00;01:00;41.014,5;20.989;617,75
06.09.2015;01:00;02:00;38.889;18.219,5;689,25
06.09.2015;02:00;03:00;38.037,5;17.236,5;1.189,75
06.09.2015;03:00;04:00;37.713;16.669,75;1.386
06.09.2015;04:00;05:00;37.775,5;16.464,75;1.383,5
06.09.2015;05:00;06:00;38.345;16.599,75;1.776,25
06.09.2015;06:00;07:00;39.071,75;16.170,75;2.036,5
06.09.2015;07:00;08:00;40.729;16.770,5;1.789,5
06.09.2015;08:00;09:00;44.390,25;17.856,5;1.842,5
06.09.2015;09:00;10:00;47.702,25;17.736,5;1.557,25
06.09.2015;10:00;11:00;49.987,25;16.948,75;1.886,25
06.09.2015;11:00;12:00;53.509,75;17.642;1.671,75
06.09.2015;12:00;13:00;53.056;16.568,5;1.403,5
06.09.2015;13:00;14:00;50.894,5;14.795,25;1.838,75
06.09.2015;14:00;15:00;49.115,5;13.774,75;2.275,5
06.09.2015;15:00;16:00;47.990,75;13.739;2.748,75
06.09.2015;16:00;17:00;47.897,25;16.336;2.219,75
06.09.2015;17:00;18:00;48.935,5;21.669,75;673,5
06.09.2015;18:00;19:00;49.810,75;27.304,75;569
06.09.2015;19:00;20:00;50.420;32.495,5;37,5
06.09.2015;20:00;21:00;51.630;36.191,75;49,75
06.09.2015;21:00;22:00;49.679,75;35.138,5;355
06.09.2015;22:00;23:00;47.907;34.098;811,25
06.09.2015;23:00;00:00;44.622,5;31.694;1.048,75
07.09.2015;00:00;01:00;41.924,75;29.846,25;670,25
07.09.2015;01:00;02:00;40.465,25;29.183;1.401,25
07.09.2015;02:00;03:00;39.787,5;29.142,75;1.827,75
07.09.2015;03:00;04:00;40.136;30.072,5;1.852
07.09.2015;04:00;05:00;41.694;32.171;1.951
07.09.2015;05:00;06:00;46.372;37.605,5;1.570,25
07.09.2015;06:00;07:00;55.713,5;47.635,25;262,75
07.09.2015;07:00;08:00;61.626,5;53.619,75;4
07.09.2015;08:00;09:00;65.277;56.183,5;4
07.09.2015;09:00;10:00;66.520,75;55.353;4
07.09.2015;10:00;11:00;67.850;53.887,75;160,5
07.09.2015;11:00;12:00;69.129;52.693,25;344,5
07.09.2015;12:00;13:00;68.520,5;50.894;439,25
07.09.2015;13:00;14:00;67.667,5;49.979;399
07.09.2015;14:00;15:00;66.537;49.335,75;183,5
07.09.2015;15:00;16:00;65.177,25;49.615,5;28
07.09.2015;16:00;17:00;63.375,5;49.925;233,5
07.09.2015;17:00;18:00;62.952,25;52.114;166,5
07.09.2015;18:00;19:00;62.739;55.328,5;216
07.09.2015;19:00;20:00;62.931,5;58.272;4,25
07.09.2015;20:00;21:00;62.750;58.373,5;12
07.09.2015;21:00;22:00;59.054,25;54.612,75;265,25
07.09.2015;22:00;23:00;54.471,25;50.130;418,25
07.09.2015;23:00;00:00;49.914,5;45.474;590
08.09.2015;00:00;01:00;46.696,5;42.319,5;1.359,25
08.09.2015;01:00;02:00;44.926,5;40.719,5;1.306
08.09.2015;02:00;03:00;43.978;39.775,5;1.453
08.09.2015;03:00;04:00;44.349,75;39.895;2.264,25
08.09.2015;04:00;05:00;45.736,25;41.309,5;2.056,5
08.09.2015;05:00;06:00;49.662,75;45.416,5;1.187,5
08.09.2015;06:00;07:00;57.925;53.616,25;97
08.09.2015;07:00;08:00;62.953,5;57.633,75;38,75
08.09.2015;08:00;09:00;65.753,75;58.346;4,5
08.09.2015;09:00;10:00;66.202,5;55.862,75;7,25
08.09.2015;10:00;11:00;67.404;52.633,5;155,5
08.09.2015;11:00;12:00;68.973,25;50.789,25;760,75
08.09.2015;12:00;13:00;68.623,5;49.732,25;540,5
08.09.2015;13:00;14:00;68.403,75;50.215;258,5
08.09.2015;14:00;15:00;66.987,5;49.908,5;258,5
08.09.2015;15:00;16:00;65.411,5;50.050,25;224
08.09.2015;16:00;17:00;63.452,5;50.554,75;224,75
08.09.2015;17:00;18:00;63.043,75;53.636,25;387,25
08.09.2015;18:00;19:00;62.825,75;57.362,25;154
08.09.2015;19:00;20:00;63.160,75;60.185;5,75
08.09.2015;20:00;21:00;63.479,75;60.657;4,75
08.09.2015;21:00;22:00;59.493,25;56.309,75;421,25
08.09.2015;22:00;23:00;54.786,5;51.440,5;815,75
08.09.2015;23:00;00:00;50.097,75;46.760,75;1.651,25
09.09.2015;00:00;01:00;46.857,5;43.707,25;1.637,75
09.09.2015;01:00;02:00;44.840,25;41.978;1.655,75
09.09.2015;02:00;03:00;43.759,25;41.171,75;1.805,5
09.09.2015;03:00;04:00;44.012,25;41.279,75;1.617,5
09.09.2015;04:00;05:00;45.503,75;42.773,5;1.583
09.09.2015;05:00;06:00;49.604,5;47.013,25;935,25
09.09.2015;06:00;07:00;57.633,5;55.066,25;123,75
09.09.2015;07:00;08:00;62.636,5;58.612,75;5,25
09.09.2015;08:00;09:00;65.267,5;57.690,25;9
09.09.2015;09:00;10:00;66.085,25;53.919,75;214,75
09.09.2015;10:00;11:00;67.517,25;50.558,25;285,5
09.09.2015;11:00;12:00;69.096;48.876,5;209,5
09.09.2015;12:00;13:00;68.284,5;47.370,75;147,5
09.09.2015;13:00;14:00;67.140;45.999,5;356,5
09.09.2015;14:00;15:00;65.506,25;44.935,75;633,75
09.09.2015;15:00;16:00;64.084,75;44.649,75;767,75
09.09.2015;16:00;17:00;62.621,25;46.227,75;671,25
09.09.2015;17:00;18:00;62.141,25;50.225,5;334,75
09.09.2015;18:00;19:00;61.993;54.559;127,5
09.09.2015;19:00;20:00;61.963,5;57.052,25;19,5
09.09.2015;20:00;21:00;62.274;56.152;138,75
09.09.2015;21:00;22:00;58.634,5;51.166,5;653,25
09.09.2015;22:00;23:00;54.255,5;46.771,5;1.612,5
09.09.2015;23:00;00:00;49.904;42.618,75;2.078
10.09.2015;00:00;01:00;46.768,5;39.994,5;1.416
10.09.2015;01:00;02:00;45.098,25;38.878,75;1.450,25
10.09.2015;02:00;03:00;44.239;38.820,25;1.291,25
10.09.2015;03:00;04:00;44.356,75;39.527,75;1.417,75
10.09.2015;04:00;05:00;45.784;41.375;1.399,25
10.09.2015;05:00;06:00;49.627,25;45.286;1.136
10.09.2015;06:00;07:00;57.697,5;53.351;358,5
10.09.2015;07:00;08:00;62.578;57.019,5;108,5
10.09.2015;08:00;09:00;65.310,5;56.905,25;64
10.09.2015;09:00;10:00;66.066,5;53.885;22,5
10.09.2015;10:00;11:00;67.167;49.651;96
10.09.2015;11:00;12:00;67.980,75;45.807,25;325,5
10.09.2015;12:00;13:00;67.218,25;42.380;291,75
10.09.2015;13:00;14:00;66.659;41.375;777,5
10.09.2015;14:00;15:00;65.548,5;41.597;1.242
10.09.2015;15:00;16:00;64.300,25;42.757,5;916
10.09.2015;16:00;17:00;62.752,25;43.968,5;477,75
10.09.2015;17:00;18:00;62.130,75;47.538,5;385
10.09.2015;18:00;19:00;62.273;52.060,5;223,75
10.09.2015;19:00;20:00;63.395,75;55.018,75;2
10.09.2015;20:00;21:00;63.496,5;54.195;39,25
10.09.2015;21:00;22:00;59.115;49.349,25;141
10.09.2015;22:00;23:00;54.721,75;44.899,5;1.125
10.09.2015;23:00;00:00;50.299;40.554;1.940,75
11.09.2015;00:00;01:00;47.308,25;37.841,75;1.518,75
11.09.2015;01:00;02:00;45.334,25;36.524,75;1.494
11.09.2015;02:00;03:00;44.257,75;36.276,5;1.820,25
11.09.2015;03:00;04:00;44.566;37.176;1.912,75
11.09.2015;04:00;05:00;45.744,25;38.584,25;1.961,5
11.09.2015;05:00;06:00;49.603,5;42.712;1.045,5
11.09.2015;06:00;07:00;57.854,25;51.037;211,25
11.09.2015;07:00;08:00;62.939,5;55.148;58
11.09.2015;08:00;09:00;65.437,5;54.813;59,5
11.09.2015;09:00;10:00;66.187,25;51.699;17
11.09.2015;10:00;11:00;67.154,5;48.504,5;4,25
11.09.2015;11:00;12:00;68.010,75;46.257,75;7,25
11.09.2015;12:00;13:00;67.087,75;42.958,75;197,75
11.09.2015;13:00;14:00;65.730,25;41.121;460
11.09.2015;14:00;15:00;64.486,75;40.745,75;397,25
11.09.2015;15:00;16:00;63.429,5;42.403,5;205
11.09.2015;16:00;17:00;62.013,75;44.740,25;196,25
11.09.2015;17:00;18:00;61.710,75;49.170,75;85,75
11.09.2015;18:00;19:00;61.397,75;53.775;48,25
11.09.2015;19:00;20:00;61.369,25;56.313,25;8
11.09.2015;20:00;21:00;61.445;55.927,75;6
11.09.2015;21:00;22:00;57.609;51.527;154,25
11.09.2015;22:00;23:00;53.514,25;47.215;366,5
11.09.2015;23:00;00:00;49.278,5;43.153,75;599,25
12.09.2015;00:00;01:00;45.529;39.811,5;415
12.09.2015;01:00;02:00;43.618,25;38.346,25;665,25
12.09.2015;02:00;03:00;42.475,5;37.680;759,75
12.09.2015;03:00;04:00;42.185,5;37.668,5;1.476,25
12.09.2015;04:00;05:00;42.123,5;38.043,5;1.447,5
12.09.2015;05:00;06:00;42.858,5;39.013;2.125,25
12.09.2015;06:00;07:00;45.050,25;41.129,75;1.385,5
12.09.2015;07:00;08:00;47.979,75;42.895,25;339,5
12.09.2015;08:00;09:00;51.976,25;44.385,5;8
12.09.2015;09:00;10:00;54.711,75;43.648,75;6
12.09.2015;10:00;11:00;56.251;40.077,25;376,5
12.09.2015;11:00;12:00;57.756;37.259,5;1.231,5
12.09.2015;12:00;13:00;56.540,5;32.995,5;1.128,25
12.09.2015;13:00;14:00;54.440,5;29.406,25;2.048,5
12.09.2015;14:00;15:00;53.513,5;28.891,5;2.118,75
12.09.2015;15:00;16:00;53.005,75;31.583,5;851
12.09.2015;16:00;17:00;52.095,75;35.374,75;676
12.09.2015;17:00;18:00;52.414;40.388;132
12.09.2015;18:00;19:00;52.782;44.139,75;17,75
12.09.2015;19:00;20:00;53.531,5;45.079,5;133
12.09.2015;20:00;21:00;53.415,5;42.684,75;208,75
12.09.2015;21:00;22:00;50.390,25;38.816,5;468,5
12.09.2015;22:00;23:00;47.492,25;36.379,25;324,75
12.09.2015;23:00;00:00;44.144,5;34.256;368,75
13.09.2015;00:00;01:00;40.977,75;32.829;490,75
13.09.2015;01:00;02:00;38.845,5;32.097,5;1.396
13.09.2015;02:00;03:00;37.743,75;32.023,75;1.620,75
13.09.2015;03:00;04:00;37.320;32.095;1.792,25
13.09.2015;04:00;05:00;37.310,75;32.366,25;1.873,25
13.09.2015;05:00;06:00;37.852;33.320,75;1.520,75
13.09.2015;06:00;07:00;38.847,75;34.305,5;723,25
13.09.2015;07:00;08:00;40.179,5;35.019,75;1.006,75
13.09.2015;08:00;09:00;43.754,75;36.612;1.036
13.09.2015;09:00;10:00;47.316,5;36.910,5;828
13.09.2015;10:00;11:00;49.655,5;36.284,75;637
13.09.2015;11:00;12:00;52.002,75;36.452,25;312,25
13.09.2015;12:00;13:00;52.048,5;35.910,5;117
13.09.2015;13:00;14:00;49.998,5;34.368,75;336,75
13.09.2015;14:00;15:00;48.674,5;34.043;797,75
13.09.2015;15:00;16:00;47.309,25;34.766,5;592,75
13.09.2015;16:00;17:00;47.121,5;36.604,25;1.275
13.09.2015;17:00;18:00;48.340,75;39.822,25;871
13.09.2015;18:00;19:00;49.967,25;42.794,75;27,5
13.09.2015;19:00;20:00;51.247,25;43.644,25;144,75
13.09.2015;20:00;21:00;52.449,25;43.060,25;225,5
13.09.2015;21:00;22:00;50.319,5;39.516,25;210,75
13.09.2015;22:00;23:00;48.699,75;37.365;292,75
13.09.2015;23:00;00:00;45.283,75;33.623,75;1.538,25
14.09.2015;00:00;01:00;43.083;31.867,5;1.543,75
14.09.2015;01:00;02:00;41.616,25;30.694;1.458,25
14.09.2015;02:00;03:00;40.871,25;30.280;2.600
14.09.2015;03:00;04:00;41.348,75;31.381,5;2.300,25
14.09.2015;04:00;05:00;43.037,25;33.671,5;2.387,25
14.09.2015;05:00;06:00;47.869,5;38.944,25;1.328,5
14.09.2015;06:00;07:00;57.656,25;49.236;148,5
14.09.2015;07:00;08:00;63.349,75;55.006,75;11
14.09.2015;08:00;09:00;66.439,25;57.656,75;12,5
14.09.2015;09:00;10:00;67.144;57.287;9,75
14.09.2015;10:00;11:00;68.332,75;57.265;72,25
14.09.2015;11:00;12:00;69.112,75;56.385,25;156,5
14.09.2015;12:00;13:00;68.766;54.028,75;203
14.09.2015;13:00;14:00;68.221;52.663,75;427,5
14.09.2015;14:00;15:00;66.584,5;50.546,25;374,75
14.09.2015;15:00;16:00;66.211,5;50.261,75;397,75
14.09.2015;16:00;17:00;64.554,25;50.035,5;466,25
14.09.2015;17:00;18:00;64.299,5;50.853,25;664,75
14.09.2015;18:00;19:00;63.829;52.908,5;120
14.09.2015;19:00;20:00;64.529,5;54.107,5;42
14.09.2015;20:00;21:00;64.065;51.439;179,75
14.09.2015;21:00;22:00;60.083,25;46.106,25;378,5
14.09.2015;22:00;23:00;55.381,5;40.577;687,5
14.09.2015;23:00;00:00;51.219;35.202,75;1.038,75
15.09.2015;00:00;01:00;48.083;31.632;1.737,75
15.09.2015;01:00;02:00;46.459,75;30.220;1.944,25
15.09.2015;02:00;03:00;45.371,75;29.699,5;1.980
15.09.2015;03:00;04:00;45.795;30.324,25;2.135,25
15.09.2015;04:00;05:00;47.225;31.988,5;1.899
15.09.2015;05:00;06:00;51.220,25;36.489,75;1.460,5
15.09.2015;06:00;07:00;60.135;45.454,5;352,5
15.09.2015;07:00;08:00;64.726,5;49.530,5;28,5
15.09.2015;08:00;09:00;67.573,75;49.766,25;6,5
15.09.2015;09:00;10:00;68.451,5;48.016,75;89,75
15.09.2015;10:00;11:00;69.240,5;45.303,75;212,75
15.09.2015;11:00;12:00;70.431,25;43.667,75;265
15.09.2015;12:00;13:00;69.840,5;41.535;477
15.09.2015;13:00;14:00;68.796,25;39.997,5;504,5
15.09.2015;14:00;15:00;68.023,5;38.386;1.553,25
15.09.2015;15:00;16:00;66.701,5;38.968;1.265,25
15.09.2015;16:00;17:00;64.979,75;40.278,75;401,75
15.09.2015;17:00;18:00;64.149;43.879;67,75
15.09.2015;18:00;19:00;63.797,25;46.874,5;229,5
15.09.2015;19:00;20:00;64.846,75;50.126;207,25
15.09.2015;20:00;21:00;64.540;50.399,25;94,5
15.09.2015;21:00;22:00;60.466;46.259;596,25
15.09.2015;22:00;23:00;55.445;42.448,75;181,75
15.09.2015;23:00;00:00;51.001,75;38.634,75;239,25
16.09.2015;00:00;01:00;47.942,75;36.217,5;828,25
16.09.2015;01:00;02:00;45.961,75;35.002,25;1.476,75
16.09.2015;02:00;03:00;44.872,75;34.577,5;1.513,75
16.09.2015;03:00;04:00;44.846,5;35.094,75;1.392
16.09.2015;04:00;05:00;46.216,5;37.043;1.364
16.09.2015;05:00;06:00;50.545;40.676;1.536,5
16.09.2015;06:00;07:00;59.519,25;49.219;401
16.09.2015;07:00;08:00;64.760,75;54.042,5;263
16.09.2015;08:00;09:00;66.996,75;54.726;344,5
16.09.2015;09:00;10:00;67.318;52.735,5;162,75
16.09.2015;10:00;11:00;69.119,75;51.219,75;302,5
16.09.2015;11:00;12:00;70.780;50.061,75;148,25
16.09.2015;12:00;13:00;70.139;47.024;320,5
16.09.2015;13:00;14:00;69.478,75;46.240,5;85,25
16.09.2015;14:00;15:00;67.640,75;46.572,25;179,5
16.09.2015;15:00;16:00;66.966;46.834,75;9
16.09.2015;16:00;17:00;65.409;46.994,5;269,5
